source_id,ra,dec,phot_g_mean_mag,bp_rp,parallax
457487413730043904,35.589314692312705,55.84564535570569,5.057103,0.6091151,0.7851998831581133
458574349694431488,34.51899138050382,57.5163161082762,5.674918,1.2634916,4.195593712141542
495172075253921152,57.30753795708344,70.87077272777172,5.384936,0.13362646,8.77594186476219
508947650286285312,24.531552132767807,57.977603478508314,5.1020503,1.504735,2.4121343448170647
518229693090250368,27.82050730757068,64.85494490552183,5.546991,2.3456101,1.0323561604791651
519992038425091200,25.586159810198804,68.04298500272667,5.545116,-0.058751583,7.6960376353357765
527729748425840768,8.604089659592852,66.75033590302702,6.4659452,-0.060254097,4.855813504253879
532969642887371776,13.34314616570151,69.95614722633496,5.8801327,2.7226796,3.596743606576313
541801332594262912,42.23132726184537,69.63445586417129,6.229358,0.24618053,15.314285552224412
546439965996109696,30.8581399846376,72.42139432955031,3.9484353,0.056805372,20.839130810725067
555179502886541824,50.083664483025785,77.73446502837633,5.3973985,0.2881918,12.641589494475266
559349194577286144,29.47056615619414,75.33596121481297,6.3800044,1.1084876,5.7378842029903465
559491100295682048,31.381240108078664,76.11496874248665,4.9698467,1.1056981,7.776300398488361
568948068526015104,32.35443348412721,81.29597311707957,6.0276437,0.1704297,14.238398989226614
576394854622883072,23.47807518933223,89.01549156450253,6.4589815,0.117087364,9.836119122910986
719103698606421888,136.6322124987915,38.452148473031684,4.284234,1.1645465,4.62534777979512
806776110106407808,150.865275122242,41.30471589008505,6.3470254,2.5156398,1.965105589745186
812437319381558528,140.3142113470798,39.666404691132094,6.431945,1.1339831,5.746110718288907
825118815915812608,145.67935525974482,48.43089382836649,6.3610077,0.02712679,7.254106644967906
836222371526960896,165.1062692935048,51.502029763971116,6.1701283,1.113234,5.4148716133472625
975191123629840384,114.13162956341513,46.18013983463598,4.959143,1.9136469,5.534500038256894
977835346015315712,106.28745803119256,47.77503865177456,6.34506,-0.008218288,2.383200936676116
995762333350851712,95.44237824804918,53.45178235916701,5.2251244,0.59952736,16.25028427610955
999468409091291264,92.4960342424465,58.935775663057065,5.0319276,1.2776465,7.345687745251615
1003703727881026304,99.42049806752281,61.48002037612373,5.6914687,1.0979371,19.85407538927081
1008018211509401728,91.66279031778704,63.45387619753425,6.150888,1.1687365,8.58732475678437
1026412486989292928,144.75292603568502,58.54818955902693,6.4150686,2.268405,1.5631698852089289
1028755206966173440,128.1394314656791,53.114514910633694,5.956534,1.1795616,16.808051600336682
1051062098871095808,148.76405882696437,61.11611046981935,6.027738,1.1659756,8.589996412846235
1053745044681472640,157.47688335812745,65.62609790052566,6.018081,1.2613354,8.953829469129442
1059521225937701632,160.48392976447823,65.71598438637281,4.762891,1.3236642,14.020647411537132
1061520550394795392,174.01302726996136,69.3223903144074,4.92018,1.1528201,12.397661692981002
1077943165305533440,154.5034964120892,73.07321998136645,6.4495044,0.46066952,16.1363403927644
1083221954989680000,122.51557426352059,58.24792310104382,5.463986,1.5112805,4.775936059282916
1092230803512999424,130.05279074554068,64.3280541536806,4.222566,1.3584721,13.203483843456517
1139835946142603008,105.0182604038094,76.97734888794668,4.0778456,1.5402956,17.075320615491627
1349637195812633984,269.2022944867467,45.350708169749176,4.598965,3.2803822,3.4584809874933873
1362826937299884288,266.78339003856024,47.61227431486758,6.498906,0.12813377,7.534089746332187
1385978666451514112,244.93506863647633,46.313533018260976,3.8871303,-0.17080116,10.162563126660359
1388904123294869760,230.65572385943926,39.58139932273327,4.9114814,1.8423297,1.3231801913245191
1389871281210807040,232.945628117465,40.89928134705457,4.9359055,0.17828608,7.3893528449243195
1395269196107511552,230.2207807619198,45.66475276799193,6.4508057,1.1864886,6.568710324345669
1398822783330261248,240.66277161527762,47.24063069977545,3.6584573,3.9391582,8.162068243632802
1529967204533151232,196.46768972676242,45.26866591783556,5.3092203,1.303297,7.67754388444543
1550327136221693184,201.5693704989854,46.027971264646816,5.620327,1.1503854,9.01334500413881
1550267041040243200,202.5525217743183,45.735252883826654,6.1620116,2.4755974,2.6241261804479636
1560127186438933760,204.8758630406551,52.92145607694174,5.44243,0.15888739,19.34888374650627
1567285659971101440,192.4083640756211,48.7399876386331,6.1865315,1.2814631,6.018275465297292
1583976864954633600,186.27634170617569,63.80278742415781,6.069837,1.0683312,6.2138998913143935
1602089772833227264,234.78961752339126,57.92444371644108,6.165427,1.2163682,7.471554155624499
1607693949241438592,221.59749806351059,56.61639527161918,6.2958508,1.2733827,5.280443284923711
1618237642980201344,217.92794762564301,60.225719468426234,6.215724,0.34779406,8.179988467824334
1621259036510505344,224.3950073429196,65.9325976765071,3.1697965,2.5372167,9.85144476370445
1623289903206300928,240.46954398425984,58.56673458360329,3.869275,0.72880006,46.4664631070124
1632137123519879040,257.1021011064561,64.31912127640017,6.378795,4.746084,1.9627414589130765
1637110042813188608,261.24428143354027,67.30672951368193,6.2235785,0.95549154,78.17469220601129
1639947946747724160,236.66707720541896,62.59930592517897,5.1820292,0.07930231,11.385642107393384
1645425614893967744,228.6623049416036,67.34497640770853,5.0092583,0.7265644,39.54865552652201
1786774019397408768,324.7555318892369,20.265445571213434,5.699369,0.4349041,25.068323918033588
1793799589461305472,325.2632930686491,22.19480336798008,6.486825,2.2056637,2.505890206743406
1935013338152948992,347.05191188576305,44.56186032429899,6.48535,0.26359463,5.072017677468082
1988557767726186752,342.0337361293378,49.58268023120199,5.7409987,2.5084305,5.115966622659855
1988828900420213888,342.5420802984704,50.676917295757,5.920482,1.2618957,1.9489135452089772
1988991181464558336,343.2178140257088,50.41227999019945,6.4524536,-0.05500126,4.383879551220402
1990895088922990976,346.9401312270814,49.29636056194735,5.567371,0.60169125,29.095630872716058
1994902671371555968,356.20187314173455,55.79967693282926,6.2023997,1.1383114,6.72455623853101
1995432601615870208,346.7919155774136,52.81665614099142,5.8434362,1.1988025,8.475026578632772
2002006925238889984,341.2046122113628,52.51724210644997,5.82696,1.756329,3.6622485688911164
2011846764033400576,358.27023986953674,60.704482020812826,6.1215453,1.7634172,2.3406082957515286
2013854025588890240,350.0867346847967,60.27474810699409,6.4298954,0.9011936,1.1827783979044466
2071013511953705344,307.5002904305282,45.929231248612645,6.095573,1.3292933,7.936108216667543
2082600852679281408,303.40796229720166,46.74133773743381,3.2822554,1.5570946,2.916701118242992
2083947891862120192,307.5148220122709,48.951597370765676,4.894649,-0.09547281,2.545860171461429
2087828961746272768,300.339961089638,50.10471767924625,4.746411,1.2446008,7.20896870707051
2135110401277424384,294.1105137988449,50.22227321404957,4.371612,0.5560627,54.2702400241993
2135122152307734912,293.98308824643595,50.23878033358657,6.1853533,1.2142015,6.1980394082906844
2135282371768942464,296.63656333833586,50.01025744253171,6.3607926,1.271543,4.097225419719123
2135550755683407232,295.46561283744234,50.51680164969824,6.0734186,0.82615995,47.33016209584275
2141655450397401472,292.80645062666395,55.73175154650737,6.0273952,1.3735113,2.249053483438705
2147865732587997056,280.65813646044916,55.53956461657559,5.0065584,-0.0918746,9.016262923655157
2157180623299744128,280.23511834121365,62.74969763315144,5.866051,1.1133432,9.156108713693506
2162224461108306560,314.731956179138,44.06052463928,6.3551707,1.2062869,4.449827129959763
2162254491522904192,314.5817371402121,44.4720236982468,5.3043385,1.1186328,14.495040201060593
2168188139145800320,312.4069092324161,50.127109633492275,5.2067103,2.815238,3.088618604564593
2172768330933500416,321.6874880529131,52.89855710441812,5.9859757,-0.16743135,6.205285477047529
2187004670048985600,306.5979196479174,56.6387226011437,6.3735957,0.031911373,4.514260556979548
2192289403968737280,318.19683965966686,60.097985177078016,4.9458847,3.052904,0.9286426444269665
2192748690592268032,319.63503171107965,61.18438388467299,5.185165,2.7801235,3.732737012103504
2198492573700708608,334.1110662833896,57.22026042059751,5.6561637,1.0752692,5.285600028719982
2203406389936660864,325.6889732472605,59.270848564196875,5.6739755,1.4847078,3.1595370663809903
2207999363545365888,342.1845237387089,62.938195602618784,5.7157445,1.3542237,5.49558482690445
2219270491601601152,329.29631719323424,66.15615325488409,6.3819613,-0.07588768,2.1339522340396453
2224308831832908032,326.7534040140822,70.15077084677651,6.4392395,3.3426285E-4,6.973592573881627
2232423983561258112,354.79250880607066,75.29294331380395,5.943437,0.1427803,11.778060331099725
2235408092478688768,295.81115196732736,58.016370524128234,6.157268,0.742527,21.86245447560289
2247469838114355200,300.36903172103445,64.82092331285595,4.4647875,2.025331,5.0500933695690104
2265035532800158848,288.8854304536992,73.35593837366184,4.0729303,1.3882248,21.6734281772682
2279611002534410496,339.30479498201083,75.3718447805664,5.0702977,1.9343319,4.9226809240001375
2284809424791725952,316.3723644562254,78.12652040613274,5.9022293,-0.09544468,7.380732455045371
2315550051916217856,6.981967886364166,-33.00738563529265,3.8037894,2.347153,5.898388870903959
2340353213172465664,2.223435057637405,-22.179536603239182,6.180451,2.3272858,2.0099304443767996
2350960614161169408,16.804211548325572,-23.99647534573201,6.326978,0.30935812,14.342766812580193
2384510493496388992,345.3461554261224,-22.79101043384155,6.2600727,0.18412971,7.744279405219511
2395832199087266816,354.513002255374,-15.095597159029895,6.099667,1.2056732,7.87851662219275
2399386164265552000,343.8776601830206,-20.139470404927255,5.857249,1.5965586,4.960519673001472
2404410451368518144,343.6884285408741,-16.272351239419255,5.224309,1.2471442,24.137324185455938
2443724589131828224,2.5787968558549785,-5.248718523741627,5.5837436,1.1528335,17.07111765931045
2473189439172384000,16.4035376119297,-9.97947512423837,5.8247433,1.1743717,10.818418208131622
2477338411938928896,21.479969377093493,-8.504486477473096,6.283754,1.2175388,6.500276218663236
2481473091055268736,25.193207465730527,-2.622092587888658,6.3719096,1.3817649,3.7356863390837294
2486064685972601472,33.47315153592297,-9.06454200401757,5.9415045,1.5827904,3.3172523580578193
2493390319631956352,34.83664886460604,-2.9787036389443307,3.5681472,5.59058,
2498460442625153536,40.30930839090126,-0.6962055847301062,5.639261,0.665082,44.86942385484068
2527541872345889792,10.176476861935194,-4.351903771814803,5.5819087,1.2706156,5.262333375340565
2633480779753613056,350.16990004587916,-5.9082273044463935,5.8615623,1.2517014,8.243355110365517
2685805266809529472,319.16454516012965,-1.607835824669867,6.244152,1.1192517,5.559122522097052
2698772632069758464,324.6335918752206,5.771873917027184,5.602093,0.36819553,19.052892762268463
2714414009608619648,347.5060131942866,9.822050814838967,5.369665,-0.06429386,4.959358209471858
2722592692491549824,335.2326755062896,8.186839402439308,6.065988,0.6138139,31.829300630816522
4988994054954228864,15.326529959977933,-38.91630702602228,5.2234244,1.3677163,6.205919009940962
5000702410680381824,11.051805707876756,-38.42115267075348,5.5775566,1.2939191,9.85296971464307
5001910705240510208,15.147398188607573,-36.23825779771991,6.4881,1.5927739,3.5024948867170846
5008572989791568768,23.960437926481085,-39.94733685163522,6.330654,0.5721512,26.806075465026634
5015967957105600000,20.821789650049517,-33.548031971278,6.175292,1.8380771,3.747792260970226
5021530047130652800,25.535520577977998,-32.32700636189866,4.9588623,1.2119427,15.981265686497327
5029474534036196736,18.097385429426424,-30.802426688183974,6.4269834,0.62731695,12.70604385621711
5043061130500922368,21.84711909331907,-22.338604276682744,6.146472,1.2425504,7.872696733793667
5073246882211822720,44.9016521506297,-25.27375871057276,5.5986996,0.54634905,30.018410615454897
5125533092518261504,39.435092949771914,-22.991708035320766,6.487968,1.2089553,5.924302268035465
6542584709187949056,347.540691756403,-40.59174607451708,4.6798654,2.6605473,5.1431881263677015
6554288391990033152,344.64583050896033,-35.523724000592345,6.014067,0.73404074,14.404724009785257
6555625398129521792,349.9300215886084,-33.70822089456332,5.926796,1.4780903,5.467667741760801
6592175672898801024,324.77586106023705,-33.67903845439806,6.0370874,1.1018691,22.68622707719589
