hip,ra,dec,hp_mag,b_v,plx,pm_ra,pm_de
12489,40.170971528659045,27.061008876136942,5.3318,0.081,14.09,64.83,-26.05
12647,40.6206252252915,10.741781809121315,6.3398,0.064,7.87,-22.88,-22.95
13165,42.323156874609005,17.46434449269119,5.2433,-0.066,4.18,2.6,-14.1
13495,43.44244972881847,9.335873275132009,6.4184,1.455,5.77,57.41,-23.63
13665,43.9864296792577,61.521062892463824,5.6858,0.445,37.44,145.48,30.31
14036,45.183721816321345,10.870471957265769,6.0434,1.593,6.2,78.26,-33.18
14502,46.82923675094947,64.05760178043657,5.8888,-0.02,5.27,-14.25,-3.26
14797,47.77194967352263,-13.264304275853169,6.489,0.614,3.05,26.26,7.66
15382,49.59206992096023,-22.511148807656408,5.0241,0.904,12.77,13.08,13.33
15444,49.78174375449148,50.09502768036117,5.0299,-0.067,5.82,22.46,-24.8
16780,53.99021702771882,-11.193977942944302,5.7329,0.915,8.63,23.79,80.08
17460,56.130820261023324,36.460203802397935,5.6291,0.062,11.04,48.08,-42.48
17593,56.5354267151884,-12.101735254746433,4.5239,1.604,6.78,55.98,59.28
17732,56.9543204334737,32.19549838277882,6.3607,0.474,20.83,-23.47,-35.23
17772,57.07533702089332,50.73677196369347,6.2017,0.028,3.99,-6.38,-1.53
18455,59.15792309790236,-9.75085744455012,6.2577,0.269,7.96,52.14,6.44
18673,59.981150290340814,-24.016256670255007,4.5935,-0.121,9.96,12.12,16.48
19167,61.64606354764148,50.35135040542225,4.2801,-0.011,7.73,-12.75,-35.6
19205,61.75215616013188,29.00128770669596,5.2963,0.359,36.23,-91.4,7.58
19335,62.15206271598801,38.04022821718897,5.6343,0.52,47.63,164.1,-202.6
19725,63.40894185068043,-1.1497255418753043,6.4093,-0.125,4.54,2.17,-6.34
19859,63.870270037943634,6.1871212366725885,6.4375,0.57,46.88,-109.46,-108.25
19921,64.12118134851704,-59.30174862521371,4.5977,1.078,54.83,-47.53,-167.58
19983,64.28363441556786,57.860476700661,5.8866,1.108,12.53,23.73,-49.37
20698,66.50556322101747,4.373489627402865,6.4418,1.078,4.59,21.71,-16.27
20715,66.58791996249518,8.590281806638,6.067,-0.01,5.05,2.65,-6.17
20776,66.7620617524484,80.82421013617338,5.5849,1.179,3.37,12.19,-20.6
20860,67.05539686925515,83.80776276617132,5.4794,-0.106,4.31,-4.14,11.5
21239,68.34202710102034,-10.78540666094397,6.2011,1.379,4.39,1.12,29.25
21452,69.10096887575219,64.26162025408165,5.9181,-0.009,7.4,-25.43,-7.39
21644,69.72330707856341,-12.12307837379256,5.0341,0.074,14.02,-65.46,-16.64
21718,69.94670257803978,-1.052437955704399,6.2691,0.943,4.55,22.68,-9.25
21823,70.3503727676014,48.300988529053704,5.6662,0.002,11.0,44.65,-45.24
22176,71.56993288645451,18.734862412141727,6.1574,1.221,12.47,73.15,-69.28
22509,72.65300895811261,8.900253068153166,4.3669,0.01,14.53,1.41,-29.91
22847,73.7284092345105,-39.62866129755597,6.2399,1.423,2.65,-5.92,21.95
23040,74.32175113765952,53.752082761920505,4.4473,-0.017,8.77,-24.51,7.71
23453,75.6195003144477,41.075889221521464,3.8549,1.154,4.15,9.45,-20.71
23522,75.85457215520853,60.44228148325491,4.1838,0.921,3.74,-6.5,-14.15
23916,77.08411654492633,-8.665273725698798,5.7845,-0.059,4.79,3.93,-20.76
24017,77.43554082163466,64.91993345125469,6.4673,0.448,25.11,-17.16,-182.49
24771,79.66801402148948,40.46515693202251,6.3628,1.386,4.47,3.01,-14.37
25281,81.119238068245,-2.3971391330428427,3.2919,-0.24,3.34,-0.71,-3.46
25401,81.50983376772179,-5.518504224342934,6.2321,-0.047,4.9,5.14,0.28
25428,81.57290831934246,28.607873622095358,1.6151,-0.13,24.36,22.76,-173.58
25781,82.56610933171261,-63.9278296587918,6.2577,0.225,8.78,5.0,59.36
25918,82.96942467132297,-76.34166327513825,5.3394,1.13,31.89,142.5,286.85
25923,82.98275102792499,-7.301526262416304,4.5203,-0.261,1.14,-0.1,-4.87
26220,83.81588707279357,-5.387279711983277,4.8593,0.0,-52.82,58.94,-15.67
26268,83.91452096081402,-4.856086397632632,5.3137,0.269,9.07,-0.42,7.44
26386,84.26813108296992,11.03504375921763,6.0811,1.592,3.97,51.57,-14.65
